SMILES,Frequency,Percentage,MoleculeFrequency,MoleculePercentage
c1ccc2c(c1)c3ccccc3c4c5cccc(c5c6c(cccc6CCCCC)c24)CCCCC,2,0.0000,2,0.0000
[Mn+4],1,0.0000,1,0.0000
c1cc(cc(c1)C)-cc(c2cccc(c2)C)C,6,0.0000,6,0.0000
c1ccc(cc1)-c2ccc(-c3ccccc3)c(c2)c4ccc5ccccc5c4,1,0.0000,1,0.0000
C#COC=C,1,0.0000,1,0.0000
CC1(C)CCCC2(C)C1CCC3(C)C2CCC45CCCC53C4,1,0.0000,1,0.0000
CCCCCC1CCCC1CC,3,0.0000,3,0.0000
cc(c1ccc(c2c1CC(C)CC2)C)C,4,0.0000,4,0.0000
c1ccc(cc1)Cc2ccc3c(c2)-c4cccc(c4CC3)Cc5ccccc5,1,0.0000,1,0.0000
CC1CCC23CCC1C3CCC2C,1,0.0000,1,0.0000
CCCCC(CCC)CC(C)CCCC(C)CC(C)CC(CCC)CCCC,1,0.0000,1,0.0000
c1ccc(cc1)C2c3ccccc3CC2c4ccccc4,5,0.0000,5,0.0000
*N=CC(=O)N(*)*,23,0.0000,23,0.0001
ccc(cc)C(C)C1CCC(C)(C)C1,2,0.0000,2,0.0000
cc1cc(ccc1c2ccc3cccc(c3c2)CCCCCC)CC,2,0.0000,2,0.0000
cc(c1ccccc1)-c2cccc(c2)C,1,0.0000,1,0.0000
